"x","y","treecover","SR_B1","SR_B2","SR_B3","SR_B4","SR_B5","SR_B7","NDVI","kNDVI","SAVI","NDWI","EVI","Greenness","Brightness"
-99.0833075518858,18.9504483754731,13,0.0439249984920025,0.0636150017380714,0.0645774975419044,0.255537509918213,0.226552501320839,0.128625005483627,0.596535623073578,1,0.349268108606339,-0.601350426673889,0.363438457250595,0.123204171657562,0.340027987957001
-99.3183068302114,19.233687184556,0,0.0277412496507168,0.0373250022530556,0.0383424982428551,0.120677500963211,0.0813800022006035,0.0508962497115135,0.51776510477066,1,0.187403276562691,-0.527539074420929,0.180136829614639,0.0499925836920738,0.153464838862419
-99.2245227145494,19.2980963904274,0,0.0979074984788895,0.126149997115135,0.140395000576973,0.209914997220039,0.206890001893044,0.185687497258186,0.198452785611153,0.999241352081299,0.122637622058392,-0.249252378940582,0.131868585944176,0.0120719065889716,0.381281793117523
-98.9205328224033,19.3336696756785,0,0.0640825033187866,0.0826724991202354,0.101125001907349,0.202875003218651,0.226552501320839,0.157004997134209,0.334703952074051,1,0.189832091331482,-0.420954495668411,0.191402420401573,0.0539454743266106,0.341886132955551
-99.1439438335638,19.3007913362797,0,0.0947725027799606,0.122327499091625,0.138469994068146,0.18953749537468,0.208347499370575,0.191792502999306,0.155690044164658,0.984432101249695,0.0925127491354942,-0.215509906411171,0.0974895358085632,-0.000480785529362038,0.368639826774597
-99.3110304764101,19.2468924192326,0,0.0225025005638599,0.0365687496960163,0.0361699983477592,0.155231237411499,0.103668749332428,0.0590637475252151,0.622050523757935,1,0.258304208517075,-0.618678271770477,0.247326493263245,0.079072616994381,0.182256102561951
-99.0005727142184,19.2350346574822,0,0.0622675009071827,0.0766225010156631,0.0954599976539612,0.195972502231598,0.196302503347397,0.151587501168251,0.34489119052887,1,0.190501093864441,-0.43782901763916,0.193036943674088,0.0514533445239067,0.317377656698227
-98.9703893206719,19.2757283398528,0,0.0613324977457523,0.089781254529953,0.113266251981258,0.270964980125427,0.27147376537323,0.17280375957489,0.410426616668701,1,0.267518371343613,-0.502247035503387,0.264494210481644,0.100498743355274,0.410055130720139
-98.8873849884193,19.128584296314,0,0.0531649999320507,0.0650999993085861,0.0771725028753281,0.213599994778633,0.163385003805161,0.104892499744892,0.469189792871475,1,0.258786499500275,-0.532831013202667,0.266898334026337,0.0828230902552605,0.288705199956894
-98.9331990679094,19.2498568596701,0,0.068661242723465,0.0942225009202957,0.115768745541573,0.249171257019043,0.264062494039536,0.182745009660721,0.365546405315399,1,0.231349885463715,-0.451227635145187,0.233413055539131,0.076523520052433,0.40144544839859
