treecover,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,NDVI,SAVI,EVI,Brightness,Greenness
0,0.101042502,0.127470002,0.154255003,0.182772502,0.204387501,0.178317502,0.084614754,0.051104952,0.052791268,0.369542807,-0.012443951
0,0.0454925,0.070187502,0.087773748,0.215552509,0.246270001,0.178633749,0.421258479,0.238593146,0.228013292,0.346657306,0.077838942
0,0.045355,0.079908751,0.090028748,0.271349996,0.217449993,0.140890002,0.501748502,0.315751791,0.308084428,0.359476984,0.119691454
0,0.089932501,0.113224998,0.121914998,0.203507498,0.205954999,0.185220003,0.250727892,0.148274064,0.16182518,0.36413607,0.020182114
0,0.058005001,0.077777497,0.077420004,0.257077485,0.187612504,0.101867497,0.537096679,0.322932333,0.349104345,0.330647856,0.111104965
0,0.033736251,0.04671625,0.04875125,0.153457493,0.107023753,0.06092,0.517812669,0.223664775,0.219428405,0.195299581,0.06557487
5,0.058238752,0.087141246,0.116442502,0.230897516,0.233180001,0.187474996,0.329518646,0.202613488,0.191683307,0.3697097,0.067040391
0,0.039744999,0.065787502,0.053962499,0.301874995,0.186897501,0.101345003,0.696701467,0.434508592,0.466856539,0.336072981,0.163112193
1,0.069940001,0.086165003,0.095432498,0.154447496,0.126782507,0.084899999,0.236173362,0.118048884,0.122693069,0.252727956,0.021054314
4,0.068427503,0.086055003,0.096945003,0.189400002,0.201857507,0.170177504,0.322879732,0.176363423,0.183753997,0.326000482,0.03774498
0,0.052587502,0.085532501,0.096532501,0.293322504,0.225012496,0.132860005,0.504777431,0.331722587,0.332840323,0.381072193,0.130533546
0,0.056932501,0.08061,0.101702496,0.244289994,0.232327506,0.155437499,0.412111551,0.252816945,0.249713451,0.363867313,0.088934086
0,0.054017499,0.083662502,0.109870002,0.21085,0.250477493,0.176805004,0.314854085,0.184557453,0.172328025,0.360346109,0.060907155
0,0.074422501,0.106597498,0.123867497,0.213792503,0.206780002,0.143502504,0.266318202,0.161028951,0.16071482,0.353913069,0.044698954
0,0.040446252,0.06420625,0.063848749,0.253447503,0.182195008,0.10386125,0.597544909,0.34797436,0.35553506,0.309998602,0.124376453
0,0.055048753,0.075000003,0.0718925,0.286186248,0.180228755,0.106185004,0.598454237,0.37460503,0.410626501,0.340100408,0.134648621
0,0.121227503,0.146527499,0.158875003,0.239065006,0.198502496,0.168335006,0.201512799,0.133956611,0.156241626,0.41243127,0.012702376
0,0.092655003,0.129394993,0.160194993,0.206312507,0.270662487,0.229302496,0.125829667,0.079833433,0.07829427,0.424232781,0.003394874
0,0.087182499,0.114380002,0.149195001,0.193800002,0.184092507,0.154915005,0.130045637,0.0793688,0.07770358,0.349261284,0.010213738
0,0.0306425,0.063285001,0.04772,0.244069993,0.174219996,0.088172503,0.672915459,0.371973634,0.37743029,0.28798002,0.12988551
0,0.043952502,0.064921252,0.076388747,0.255386233,0.204992503,0.164086252,0.53951472,0.322799116,0.323316097,0.339558125,0.111203671
0,0.082644999,0.103132501,0.132722497,0.195917502,0.193800002,0.185110003,0.192292497,0.114395283,0.115116432,0.350706339,0.017024493
0,0.0740925,0.104204997,0.1225475,0.259002507,0.206917495,0.140752494,0.357633352,0.232184798,0.237132624,0.377494752,0.079089008
0,0.032870002,0.057290003,0.057427503,0.219498754,0.164732501,0.108591244,0.585250556,0.31290856,0.307526529,0.275569737,0.105100453
0,0.122465,0.145950004,0.174742505,0.204662502,0.220997497,0.221162498,0.078860313,0.051034499,0.056045488,0.419735789,-0.024885874
0,0.050085001,0.0695825,0.086659998,0.246022493,0.192892507,0.125242501,0.479022801,0.287076712,0.286552072,0.328272551,0.1030031
2,0.05311,0.080995001,0.08061,0.265217513,0.199245006,0.103160001,0.533813834,0.327385038,0.341725916,0.340892226,0.118714221
0,0.082314998,0.144134998,0.197705001,0.272037506,0.342657506,0.276795,0.158240959,0.114977695,0.100945599,0.51698029,0.039847206
0,0.063065,0.100038752,0.133904994,0.245733738,0.257160008,0.208045006,0.294566214,0.190695465,0.177373484,0.405209303,0.065360576
0,0.084941253,0.11268875,0.145289987,0.183281243,0.221987501,0.201334998,0.115625627,0.068777293,0.066982158,0.36857152,0.00016489
