"point_id","cell_id","x","y","cover_class","canopy_cover","blue","green","red","nir","swir1","swir2","ndvi","savi","evi","Brightness","Greenness","spatial_fold"
1427,2981230,-99.4126448220215,19.0412746671321,2,20.2519283294678,0.0551725029945374,0.0862887501716614,0.102018751204014,0.245444983243942,0.279586255550385,0.191077500581741,0.412780433893204,0.253862589597702,0.248354747891426,0.0868090763688087,0.396016359329224,3
1428,3687051,-99.0329269514242,18.9588093240499,2,35.7565956115723,0.0349325016140938,0.0522300004959106,0.0486824996769428,0.219374999403954,0.166767492890358,0.0822324976325035,0.63677567243576,0.333358824253082,0.341528117656708,0.112527839839458,0.268533289432526,3
1429,1334232,-99.0800885038405,19.2342327901609,2,37.6350173950195,0.0407899990677834,0.0609475001692772,0.0531099997460842,0.194322496652603,0.156564995646477,0.0769250020384789,0.570711195468903,0.283395141363144,0.29247260093689,0.0879128575325012,0.254925400018692,2
1430,1631764,-98.9253986119151,19.1994679886655,2,23,0.0431549996137619,0.0694449990987778,0.0675475001335144,0.158187493681908,0.16839000582695,0.103077501058578,0.401532739400864,0.187341094017029,0.182769924402237,0.0505595691502094,0.253505438566208,4
1431,1622609,-98.9111153988976,19.2005459670064,2,22.4584465026855,0.0512537509202957,0.0642062500119209,0.0784237533807755,0.133836254477501,0.166726246476173,0.120801247656345,0.261059552431107,0.116697207093239,0.11355247348547,0.0233675334602594,0.248042851686478,2
1432,3668144,-99.165248792775,18.9609652807318,2,37.5578994750977,0.0488337501883507,0.0680700019001961,0.0771312490105629,0.209557503461838,0.20864999294281,0.131815001368523,0.461916476488113,0.252500593662262,0.253478050231934,0.0804943442344666,0.313229501247406,1
1433,3246081,-99.380035977208,19.0102827898299,2,24.0168857574463,0.0324025005102158,0.0483662486076355,0.0485587492585182,0.266413748264313,0.147627502679825,0.0766637474298477,0.691663563251495,0.40097364783287,0.414252549409866,0.148343995213509,0.281723320484161,3
1434,3688315,-99.312662330899,18.9585398294646,2,26.4532699584961,0.045217502862215,0.0780799984931946,0.105965003371239,0.283147484064102,0.242076247930527,0.158806249499321,0.455350279808044,0.2989202439785,0.280386418104172,0.123061455786228,0.386182606220245,5
1435,3799809,-99.0437067348336,18.9456040893733,2,20.7100563049316,0.0366650000214577,0.0572624988853931,0.0456025004386902,0.232795000076294,0.169847503304482,0.0850649997591972,0.672392904758453,0.360726684331894,0.380033046007156,0.120706804096699,0.279413223266602,2
1436,2670276,-98.841855290492,19.0779259307241,2,20.9975357055664,0.0520512498915195,0.0728137493133545,0.081325002014637,0.181768745183945,0.1681287586689,0.130384996533394,0.381779283285141,0.197440505027771,0.196281254291534,0.0531220510601997,0.280974805355072,3
1437,3309555,-99.0243031246967,19.0030064360286,2,21.6050701141357,0.0320174992084503,0.0514325015246868,0.0586649999022484,0.184725001454353,0.131925001740456,0.0953774973750114,0.517934203147888,0.254361778497696,0.243061810731888,0.0810737535357475,0.235349580645561,1
1438,1674044,-99.318321717189,19.194347591546,2,37.0670509338379,0.0350699983537197,0.0477200001478195,0.0510750003159046,0.16660250723362,0.154035001993179,0.0898500010371208,0.530727803707123,0.241461187601089,0.238687768578529,0.0722061023116112,0.233540520071983,4
